term,estimate,std_error,z_value,p_value,model,N_mice,N_obs
Intercept,9.836942418426093,0.42463305344821195,23.165748258515634,1.0088124118803197e-118,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",1.5077513195777448,0.6196205718277198,2.433346128470638,0.014959992401302169,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",0.8375607005758262,0.5863596163876295,1.4284078868455587,0.15317449041547793,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Sex, Treatment(reference='F'))[T.M]",-0.4533416506717797,0.5185959572731985,-0.8741712007464751,0.38202502716925646,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
Day_c,0.08301087651951383,0.08341949215128718,0.995101676823538,0.3196868151970518,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",0.1291990563019833,0.12172494111945618,1.0614016742484378,0.28850739637155043,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",-0.08284341010876531,0.11519080066866506,-0.7191842545400494,0.472027399564648,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"Day_c:C(Sex, Treatment(reference='F'))[T.M]",0.2668867562380038,0.10187857736495518,2.6196553106738723,0.008801868266909905,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
Group Var,5.2581105194829965,2.2162965160243253,2.3724761021215652,0.017669306125883345,"MixedLM: Total_Distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
