term,estimate,std_error,t_value,p_value,model,formula,N,r_squared
Intercept,0.37495752309677977,0.05882922299515805,6.373660980149963,1.1333049464781202e-06,Probe Day 5 ~ delta_mass,day5_SW_TOTAL ~ delta_mass,27,0.0007526051385798871
delta_mass,-0.00043056208702195085,0.0031377526419993926,-0.13721989466562742,0.8919561389067789,Probe Day 5 ~ delta_mass,day5_SW_TOTAL ~ delta_mass,27,0.0007526051385798871
Intercept,0.32832607447097456,0.03562857707478357,9.215245216833264,1.6247760562162123e-09,Probe Day 8 ~ delta_mass,day8_SW_TOTAL ~ delta_mass,27,0.019834660301738416
delta_mass,0.0013516267764689719,0.0019003083188143136,0.7112670944430278,0.48350293958080753,Probe Day 8 ~ delta_mass,day8_SW_TOTAL ~ delta_mass,27,0.019834660301738416
Intercept,-0.04663144862580529,0.05521242692601805,-0.8445824830031317,0.4063541387601745,Day 8 - Day 5 memory ~ delta_mass,delta_memory ~ delta_mass,27,0.014438638827740435
delta_mass,0.001782188863490923,0.002944844919549088,0.6051893774303776,0.5505077977108287,Day 8 - Day 5 memory ~ delta_mass,delta_memory ~ delta_mass,27,0.014438638827740435
