term,estimate,std_error,z_value,p_value,model,N_mice,N_obs
Intercept,5.511464491362766,0.43984088409305694,12.530587061562716,5.0785352464394856e-36,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",-0.5178564779270611,0.6418116957732013,-0.8068666889954238,0.41974329221996076,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",0.2724020153550876,0.6073595307150397,0.4485020841516899,0.6537908823750385,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Sex, Treatment(reference='F'))[T.M]",-0.3057773512476037,0.5371689803274993,-0.5692386612890016,0.5691941870381814,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
Day_c,-1.2711568138195775,0.1947359839358295,-6.527590782802917,6.683599891706312e-11,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",0.16521463531669822,0.28415692264631526,0.5814204129819415,0.5609571430371783,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",0.3811732245681378,0.2689035060041704,1.4175093148924067,0.1563340729088039,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Sex, Treatment(reference='F'))[T.M]",-0.17614376199616097,0.23782720912717703,-0.7406375521228477,0.4589132326340173,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
Group Var,0.3101510353417745,0.15523360071121345,1.9979632883653806,0.04572064034202597,"MixedLM: Total_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
