comparison,beta_delta_mass,p_value_delta_mass,r_squared,N
Probe Day 5 ~ delta_mass,-0.00043056208702195085,0.8919561389067789,0.0007526051385798871,27
Probe Day 8 ~ delta_mass,0.0013516267764689719,0.48350293958080753,0.019834660301738416,27
Day 8 - Day 5 memory ~ delta_mass,0.001782188863490923,0.5505077977108287,0.014438638827740435,27
