term,estimate,std_error,z_value,p_value,model,N_mice,N_obs
Intercept,1.6797999999999982,0.12561961783890696,13.372115191069541,8.800224464415372e-41,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",-0.012124999999999251,0.18330296901302334,-0.06614731919120083,0.9472605380502106,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",0.06925000000000117,0.17346334753887777,0.39921978321374435,0.6897312674930929,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Sex, Treatment(reference='F'))[T.M]",-0.06939999999999866,0.15341675697746035,-0.45236257998984264,0.6510077998365899,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
Day_c,-0.33444990403071,0.07333414607641228,-4.560629964685508,5.100038516844115e-06,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",-0.014003023032629753,0.10700849864930692,-0.13085898044903044,0.8958868644328081,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",0.1764609404990401,0.1012643302547896,1.7425774708137551,0.08140744819578198,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Sex, Treatment(reference='F'))[T.M]",-0.16416276391554702,0.08956154349380574,-1.8329604148336374,0.06680845813417176,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
Group Var,0.09342861052301205,0.08928763332551007,1.0463779477993944,0.29538657002380264,"MixedLM: SW_distance ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
