term,estimate,std_error,z_value,p_value,model,N_mice,N_obs
Intercept,0.34588490087904394,0.016639114031038293,20.78745900976679,5.620950168209556e-96,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",0.016444704292525415,0.024279639248280933,0.6773043093582927,0.4982128972790909,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",-0.014493460356041005,0.022976319061934574,-0.6307999256526984,0.5281713520201821,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"C(Sex, Treatment(reference='F'))[T.M]",-0.017981281093916723,0.020321021171180682,-0.8848610974047808,0.37623155208545156,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
Day_c,0.03467370878124732,0.011583975399090393,2.99324779159752,0.002760255418249794,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",0.0013192126123373336,0.0169032283345272,0.07804500928634193,0.937792249921109,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",0.0030584787051186352,0.015995870590141823,0.19120426661888354,0.8483655610076425,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
"Day_c:C(Sex, Treatment(reference='F'))[T.M]",-0.03868617134535502,0.014147280251354996,-2.734530641792421,0.006246928077739443,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
Group Var,0.006321811873992549,0.05632909823086452,0.11222994992894497,0.9106410825674185,"MixedLM: SW_ratio ~ Day_c * C(Genotype, Treatment(reference='APOE33HN')) + Day_c * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,135
