term,estimate,std_error,z_value,p_value,model,N_mice,N_obs
Intercept,0.41709276544405355,0.03660829930249718,11.393393667309812,4.5107233914414214e-30,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Day, Treatment(reference='Day 5'))[T.Day 8]",-0.12108683768892578,0.04281328345135184,-2.8282539419457313,0.004680266453818793,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",0.1273536694178956,0.053418487240348624,2.384074802509598,0.017122121637494495,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",-0.03188457247381087,0.050551006713455686,-0.630740603338446,0.5282101457493239,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Sex, Treatment(reference='F'))[T.M]",-0.1317640591605042,0.04470899254487183,-2.947148921511936,0.003207187065049504,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Day, Treatment(reference='Day 5'))[T.Day 8]:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE22HN]",-0.06573024286237092,0.06247274195574179,-1.0521427554586427,0.29273405850525835,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Day, Treatment(reference='Day 5'))[T.Day 8]:C(Genotype, Treatment(reference='APOE33HN'))[T.APOE44HN]",0.05608491954102892,0.05911923308130126,0.9486746802669188,0.3427860954947589,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
"C(Day, Treatment(reference='Day 5'))[T.Day 8]:C(Sex, Treatment(reference='F'))[T.M]",0.10056414663934225,0.05228701707313142,1.923310073295783,0.05444112026459289,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
Group Var,0.46228501768490277,0.37038759110775865,1.248111515567507,0.2119902217163092,"MixedLM: SW_ratio ~ C(Day, Treatment(reference='Day 5')) * C(Genotype, Treatment(reference='APOE33HN')) + C(Day, Treatment(reference='Day 5')) * C(Sex, Treatment(reference='F')) + (1|MouseID)",27,54
