comparison,beta_delta_mass,p_value_delta_mass,r_squared,N
Probe5 ~ delta_mass,-0.00043056208702195085,0.8919561389067789,0.0007526051385798871,27
Probe8 ~ delta_mass,0.0013516267764689719,0.48350293958080753,0.019834660301738416,27
Slope learning (1-5) ~ delta_mass,0.0057100817099098354,0.2991810281360105,0.04302793237245783,27
