Animal Code,Genotype ,Sex,Age (months),Day1_Totaldistance,Day2_Totaldistance,Day3_Totaldistance,Day4_Totaldistance,Day5_Totaldistance,Day1_SW,Day2_SW,Day3_SW,Day4_SW,Day5_SW,Distance Day 1 Trial 1,Distance Day 1 Trial 2,Distance Day 1 Trial 3,Distance Day 1 Trial 4,Distance Day 2 Trial 1,Distance Day 2 Trial 2,Distance Day 2 Trial 3,Distance Day 2 Trial 4,Distance Day 3 Trial 1,Distance Day 3 Trial 2,Distance Day 3 Trial 3,Distance Day 3 Trial 4,Distance Day 4 Trial 1,Distance Day 4 Trial 2,Distance Day 4 Trial 3,Distance Day 4 Trial 4,Distance Day 5 Trial 1,Distance Day 5 Trial 2,Distance Day 5 Trial 3,Distance Day 5 Trial 4,SW Distance Day 1 Trial 1,SW Distance Day 1 Trial 2,SW Distance Day 1 Trial 3,SW Distance Day 1 Trial 4,SW Distance Day 2 Trial 1,SW Distance Day 2 Trial 2,SW Distance Day 2 Trial 3,SW Distance Day 2 Trial 4,SW Distance Day 3 Trial 1,SW Distance Day 3 Trial 2,SW Distance Day 3 Trial 3,SW Distance Day 3 Trial 4,SW Distance Day 4 Trial 1,SW Distance Day 4 Trial 2,SW Distance Day 4 Trial 3,SW Distance Day 4 Trial 4,SW Distance Day 5 Trial 1,SW Distance Day 5 Trial 2,SW Distance Day 5 Trial 3,SW Distance Day 5 Trial 4,Distance Probe Day 5,Distance Probe Day 8,SW Distance Probe Day 5,SW Distance Probe Day 8
250530_13,APOE33HN,M,11,6.959,6.873,5.076,2.05,2.751,2.083,1.992,1.446,0.739,0.769,3.277,4.63,10.775,9.153,7.828,1.864,8.735,9.065,1.449,8.712,8.033,2.111,4.902,0.601,2.371,0.324,0.103,2.367,0.285,8.247,2.57,1.453,2.823,1.487,2.625,0.784,1.304,3.256,0.252,1.137,2.606,1.787,1.616,0.361,0.654,0.324,0.103,0.214,0.245,2.512,9.606,10.979,2.082,1.378
250530_14,APOE33HN,M,11,6.147,2.184,3.083,4.451,2.176,3.159,1.114,1.326,1.046,0.69,8.627,7.699,8.261,0,3.919,1.005,0,3.811,6.237,2.064,2.930,1.100,7.252,6.944,3.223,0.383,0.413,1.446,2.037,4.808,6.886,2.601,3.15,0,1.089,1.005,0,2.36,2.195,0.589,1.421,1.1,2.224,0.942,0.634,0.383,0.413,0.624,1.084,0.639,6.778,8.357,1.157,2.206
250530_15,APOE33HN,F,12,5.029,5.378,4.288,0.437,1.982,1.639,1.32,1.414,0.265,0.723,9.572,7.017,3.38,0.146,3.607,12.646,2.766,2.492,1.294,4.004,0.903,10.952,0.000,1.087,0.595,0.066,1.416,0.788,2.254,3.469,5.662,0.507,0.241,0.146,0.652,2.295,1.724,0.609,0.378,1.686,0.214,3.378,0,0.686,0.307,0.066,0.702,0.432,0.811,0.947,10.312,10.1,1.9,1.178
250530_16,APOE33HN,F,12,11.117,5.408,9.703,1.862,1.502,2.374,1.373,3.344,1.203,0.915,9.896,17.278,6.389,10.906,10.6,0.831,0.373,9.828,10.544,6.972,10.109,11.187,1.281,1.111,2.728,2.326,0.478,1.177,3.110,1.241,1.709,4.927,0,2.858,2.691,0.398,0.373,2.031,3.23,1.541,3.731,4.873,0.406,0.328,1.751,2.326,0.478,0.543,2.315,0.325,9.44,8.916,4.55,3.315
250530_18,APOE33HN,F,12,6.224,6.712,6.776,2.436,1.022,2.131,2.095,3.045,1.044,0.234,1.144,4.134,8.906,10.71,5.179,10.257,11.411,0,5.066,2.061,10.341,9.636,5.344,1.106,2.501,0.792,0.149,1.076,0.766,2.098,1.043,1.097,2.876,3.509,1.643,3.208,3.53,0,3.245,0.244,2.581,6.111,2.39,0.443,0.552,0.792,0.149,0.23,0.259,0.3,10.597,10.211,4.509,2.858
250530_19,APOE33HN,F,11,11.003,5.448,6.27,8.824,5.403,2.602,1.595,1.646,3.189,1.883,14.402,10.451,9.662,9.497,10.213,10.655,0.37,10.553,8.710,0.693,11.166,4.512,11.651,11.759,11.849,0.037,6.464,0.418,3.691,11.037,5.198,1.125,2.654,1.433,0.862,2.106,0.332,3.08,3.542,0.225,1.487,1.331,5.092,3.576,4.052,0.037,1.718,0.303,2.464,3.047,10.682,10.86,5.674,4.391
250530_20,APOE33HN,F,11,7.553,8.913,3.032,1.042,1.062,1.651,2.53,1.035,0.347,0.907,14.79,6.336,5.638,3.449,9.918,10.338,3.215,12.181,5.326,0.518,5.383,0.902,0.855,0.142,2.994,0.175,0.746,0.956,1.540,1.007,3.694,0.276,2.278,0.357,2.29,3.88,0.51,3.442,1.327,0.252,1.66,0.902,0.305,0.142,0.764,0.175,0.709,0.956,1.347,0.616,10.786,11.692,3.704,4.475
250530_21,APOE33HN,F,11,8.245,10.109,7.451,5.48,4.723,4.57,2.489,1.597,1.127,1.008,22.808,1.838,3.392,4.943,11.766,13.519,6.438,8.713,2.286,12.978,10.582,3.957,3.108,9.768,8.234,0.811,2.927,3.247,4.181,8.537,16.726,0.699,0.54,0.315,2.757,4.116,0.482,2.601,0.286,2.81,1.517,1.776,0.297,1.271,2.24,0.7,0.508,0.913,1.464,1.148,6.165,6.921,5.122,1.977
250530_22,APOE33HN,F,8,6.755,3.617,7.262,2.839,1.314,1.747,0.68,1.807,1.056,0.56,3.146,12.209,11.111,0.553,12.632,0.178,1.658,0,12.713,4.118,11.399,0.819,5.198,0.597,5.474,0.088,0.306,4.257,0.101,0.590,0.787,4.378,1.543,0.281,1.967,0.178,0.577,0,1.646,0.402,4.36,0.819,1.003,0.597,2.536,0.088,0.306,1.588,0.101,0.246,11.622,12.122,4.86,3.817
250530_23,APOE44HN,M,15,11.167,3.838,1.492,1.216,3.064,3.782,0.999,0.477,0.444,1.136,11.381,11.596,11.519,10.173,2.274,11.919,1.117,0.04,0.046,1.170,3.195,1.556,0.000,1.592,0.990,2.280,8.037,1.585,1.387,1.248,7.924,2.193,2.493,2.518,0.215,2.623,1.117,0.04,0.046,0.242,1.015,0.605,0,0.421,0.194,1.16,2.497,0.505,1.157,0.385,10.365,10.796,4.552,3.82
250530_25,APOE44HN,M,13,9.729,4.638,2.695,3.377,3.455,2.702,2.061,0.738,0.897,1.334,10.146,9.196,10.143,9.431,8.758,0.323,7.653,1.818,0.823,7.501,1.128,1.329,2.376,2.204,7.935,0.991,6.326,2.284,2.465,0.746,3.927,1.092,3.307,2.482,3.733,0.323,3.327,0.86,0.492,0.8,0.377,1.283,1.423,0.396,1.246,0.523,3.245,1.051,0.78,0.259,9.398,9.572,4.371,2.922
250530_26,APOE44HN,M,13,10.268,3.536,4.11,4.135,3.099,2.202,0.804,1.773,1.599,1.223,10.249,12.188,8.546,10.09,10.872,0,2.253,1.02,2.046,1.194,1.781,11.417,9.768,4.167,1.998,0.606,0.849,2.339,1.456,7.752,1.899,1.529,0.412,4.967,2.564,0,0.233,0.421,1.628,0.802,1.105,3.558,2.96,2.03,0.8,0.606,0.782,1.287,0.456,2.368,8.867,10.982,2.309,3.146
250530_27,APOE44HN,F,11,7.467,8.491,5.467,7.622,3.517,2.156,2.149,1.61,2.285,1.184,1.166,9.373,10.211,9.119,11.102,0.071,11.239,11.55,10.840,7.771,2.696,0.560,6.479,9.600,4.974,9.436,0.084,8.835,1.499,3.648,1.166,0.604,3.234,3.62,2.262,0.071,2.271,3.992,2.204,2.723,0.951,0.56,2,2.605,1.338,3.198,0.084,2.269,0.875,1.507,9.391,10.565,2.09,2.933
250530_28,APOE44HN,F,11,6.026,9.137,8.283,1.916,5.917,1.761,2.638,2.698,0.826,1.937,1.215,10.727,1.007,11.153,13.165,0.68,11.593,13.111,12.030,0.362,9.572,11.168,0.234,0.404,5.212,1.813,0.565,11.626,1.416,10.060,1.215,1.748,1.007,3.075,2.868,0.68,3.943,3.062,3.954,0.302,3.427,3.107,0.234,0.353,1.299,1.416,0.565,3.199,0.565,3.417,11.551,12.413,4.293,3.665
250530_29,APOE44HN,F,11,6.149,4.008,6.125,7.246,3.968,1.149,0.886,2.193,2.097,1.54,1.16,7.583,5.807,10.045,6.702,0,9.328,0,4.612,8.967,6.804,4.115,6.834,7.384,7.767,7.000,3.699,1.718,8.897,1.558,1.16,0.39,0.784,2.262,0.974,0,2.571,0,1.696,2.115,2.223,2.739,0.462,2.721,4.31,0.895,2.526,0.3,2.955,0.379,9.85,9.444,2.849,3.478
250530_30,APOE44HN,F,11,7.127,5.849,3.955,1.717,3.549,1.392,2.18,1.929,1.206,1.342,0.35,11.261,9.629,7.266,10.69,11.376,0,1.331,4.322,9.078,2.139,0.280,0.040,1.846,4.218,0.763,1.227,10.716,1.535,0.716,0.35,1.303,0.306,3.608,3.945,4.438,0,0.339,1.669,5.307,0.458,0.28,0.04,1.706,2.317,0.763,0.612,3.777,0.361,0.619,9.968,8.678,3.775,4.141
250530_31,APOE44HN,F,11,9.842,7.083,9.227,9.242,8.019,4.374,1.551,1.77,1.8,2.097,16.009,11.982,1.18,10.196,11.822,0.464,0.399,15.645,12.619,12.349,3.985,7.954,5.162,11.923,10.214,9.668,9.307,10.199,1.385,11.184,13.569,2.931,0,0.994,1.895,0.464,0.399,3.448,2.136,1.875,0.661,2.406,0.964,2.109,1.492,2.634,3.277,1.767,0.709,2.633,13.443,12.789,3.489,1.332
