group1,group2,meandiff,p-adj,lower,upper,reject
Control,GLP1,-0.0907,0.0034,-0.1561,-0.0253,True
Control,HFD,-0.0167,0.3464,-0.0448,0.0115,False
GLP1,HFD,0.0741,0.0257,0.0072,0.1409,True
