term,estimate,std_error,z_value,p_value,model,N_mice,N_obs
Intercept,1.6676749999999991,0.17509394844998008,9.524458239494278,1.6590499841530906e-21,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Genotype[T.APOE33HN],0.012125000000000722,0.18330296901302337,0.06614731919120885,0.9472605380502042,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Genotype[T.APOE44HN],0.08137500000000036,0.19531216348265545,0.41664071785896123,0.6769412218375982,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Sex[T.M],-0.06939999999999896,0.15341675697746038,-0.4523625799898445,0.6510077998365884,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Day_c,-0.34845292706333963,0.10221624148859425,-3.4089780839987314,0.0006520671798080982,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Day_c:Genotype[T.APOE33HN],0.014003023032629456,0.10700849864930694,0.13085898044902763,0.8958868644328103,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Day_c:Genotype[T.APOE44HN],0.19046396353166978,0.11401921908172713,1.6704549028278144,0.09482939483464899,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Day_c:Sex[T.M],-0.164162763915547,0.08956154349380574,-1.832960414833637,0.06680845813417181,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
Group Var,0.09342861052301195,0.08928763332550997,1.0463779477993944,0.29538657002380264,MixedLM: SW_distance ~ Day_c * Genotype + Day_c * Sex + (1|MouseID),27,135
