Effect,Coefficient,SE,p_value
Intercept,-16.311596005301233,2.151220889547663,3.390032962985675e-14
Genotype[T.APOE33HN],1.4647019088556574,2.845869449594472,0.6067791514226852
Genotype[T.APOE44HN],6.535533171664404,3.135848420909617,0.037147839230906025
day_c,-0.14266113592747529,0.01724577534107131,1.3146895282841163e-16
day_c:Genotype[T.APOE33HN],-0.06447602679153827,0.022889827939743916,0.004850498735052754
day_c:Genotype[T.APOE44HN],0.01068917844662122,0.025052505026534767,0.6696189446772793
Group Var,1.2321593866587148,0.336776574387587,0.00025351274955680373
