term,estimate,std_error,t_value,p_value,model,formula,outcome,N,r_squared
Intercept,0.37495752309677977,0.05882922299515805,6.373660980149963,1.1333049464781202e-06,Probe5 ~ delta_mass,day5_SW_TOTAL ~ delta_mass,day5_SW_TOTAL,27,0.0007526051385798871
delta_mass,-0.00043056208702195085,0.0031377526419993926,-0.13721989466562742,0.8919561389067789,Probe5 ~ delta_mass,day5_SW_TOTAL ~ delta_mass,day5_SW_TOTAL,27,0.0007526051385798871
Intercept,0.32832607447097456,0.03562857707478357,9.215245216833264,1.6247760562162123e-09,Probe8 ~ delta_mass,day8_SW_TOTAL ~ delta_mass,day8_SW_TOTAL,27,0.019834660301738416
delta_mass,0.0013516267764689719,0.0019003083188143136,0.7112670944430278,0.48350293958080753,Probe8 ~ delta_mass,day8_SW_TOTAL ~ delta_mass,day8_SW_TOTAL,27,0.019834660301738416
Intercept,-0.272781652396504,0.10097668736835633,-2.7014319790608146,0.01221766945493179,Slope learning (1-5) ~ delta_mass,learning_slope ~ delta_mass,learning_slope,27,0.04302793237245783
delta_mass,0.0057100817099098354,0.005385756456387064,1.0602190715731583,0.2991810281360105,Slope learning (1-5) ~ delta_mass,learning_slope ~ delta_mass,learning_slope,27,0.04302793237245783
