Sex,Day,mean_pct,sd_pct,n,sem_pct
F,0,0.0,0.0,16,0.0
F,4,0.0,0.0,16,0.0
F,6,-3.496348736788156,3.26310363811872,16,0.81577590952968
F,8,-7.444648929976254,3.3923681518843347,16,0.8480920379710837
F,11,-9.977438556448115,5.861719168880689,16,1.4654297922201722
F,13,-14.42848636532192,7.1755658228018016,16,1.7938914557004504
F,15,-17.383888522192013,6.922575647221098,16,1.7306439118052745
F,18,-15.595790256393087,8.256385343479488,16,2.064096335869872
F,19,-18.77458831425508,9.651462613842023,16,2.4128656534605057
F,20,-17.78031260754266,9.8240550121167,16,2.456013753029175
F,21,-17.78031260754266,9.8240550121167,16,2.456013753029175
F,22,-18.6934296138454,10.700555958215013,16,2.675138989553753
F,25,-12.28195816963312,12.623211906180149,16,3.1558029765450373
F,26,-13.346927636460094,13.272946157483906,16,3.3182365393709765
F,28,-15.183855737388157,11.205590924716848,16,2.801397731179212
F,29,-19.57200042681599,9.833620548032673,16,2.4584051370081683
F,30,-18.386616825104475,10.53589914638607,16,2.6339747865965175
F,32,-15.103055670484164,9.008655292741855,16,2.2521638231854637
F,34,-18.28112593043537,9.706930025668976,16,2.426732506417244
F,36,-17.071798959817347,9.330116590403463,16,2.332529147600866
F,39,-16.154869626307658,10.409192468211494,16,2.6022981170528734
F,41,-18.711280959062456,9.302701067757617,16,2.3256752669394043
F,43,-19.306031976149058,9.62692569474528,16,2.40673142368632
F,46,-15.877589715731029,10.71930095161472,16,2.67982523790368
F,48,-18.711280959062456,9.302701067757617,16,2.3256752669394043
F,50,-19.306031976149058,9.62692569474528,16,2.40673142368632
F,53,-19.904598360124133,8.476206430857154,16,2.1190516077142885
F,55,-20.369997974436608,8.134573768386216,16,2.033643442096554
F,57,-19.05205019425208,9.314585209362848,16,2.328646302340712
F,60,-19.783989750524928,9.201728101815876,16,2.300432025453969
F,67,-15.904606172837948,11.106688667493914,15,2.867734682714305
F,69,-23.38382549210832,11.124089559125089,15,2.8722275736140848
F,71,-22.538879101227668,11.995195237449945,14,3.2058507761428707
M,0,0.0,0.0,13,0.0
M,4,0.0,0.0,13,0.0
M,6,-4.369189593454089,4.204622202775021,13,1.1661523804661298
M,8,-7.489833489101518,3.3860758597402887,13,0.9391284719157248
M,11,-6.705119755630021,3.739922201637571,13,1.0372677895577258
M,13,-11.83739800426154,5.213643217586875,13,1.4460044579218874
M,15,-12.783224791288555,5.043175081085722,13,1.398725103538218
M,18,-9.517671145415353,4.85196836183548,13,1.3456939011943723
M,19,-13.39842604992045,4.90461603369357,13,1.3602957381496141
M,20,-14.043238852787965,5.121931685283934,13,1.4205682554396084
M,21,-14.043238852787965,5.121931685283934,13,1.4205682554396084
M,22,-15.43932589230564,5.75162241493233,13,1.5952130410881948
M,25,-10.681868176964043,5.92559506853562,13,1.6434643736339793
M,26,-11.336680909713872,6.2242353310501874,13,1.7262922797427716
M,28,-13.001114758913356,6.707640611147091,13,1.8603647816058035
M,29,-16.87508157277732,6.144072389379447,13,1.704059080005396
M,30,-14.995484863358229,6.671043355237435,13,1.850214529088608
M,32,-13.700454438186144,6.837638752123972,13,1.896419778760199
M,34,-15.511225777926464,6.606329492726801,13,1.8322661329720376
M,36,-14.279124027530427,8.18976053988337,13,2.271430889255472
M,39,-10.142520024077195,7.2155548607254465,13,2.0012348485591556
M,41,-14.284991124397028,7.5478715102550975,13,2.0934029039106594
M,43,-14.32525950896912,7.366097963285152,13,2.0429879928242674
M,46,-10.142520024077195,7.2155548607254465,13,2.0012348485591556
M,48,-14.284991124397028,7.5478715102550975,13,2.0934029039106594
M,50,-14.32525950896912,7.366097963285152,13,2.0429879928242674
M,53,-9.655979365869227,6.830071580155401,13,1.894321022872281
M,55,-10.47507284059378,6.713505662345896,13,1.8619914541312277
M,57,-10.30709937831735,7.4028976586110975,13,2.053194391933433
M,60,-12.929339567612745,10.068990953574,13,2.7926356288687773
M,67,-11.80859689292297,10.546318098073437,13,2.9250223592275106
M,69,-16.43000336720908,9.190790249961957,13,2.54906657755941
M,71,-14.645704197222056,7.507509802496149,13,2.0822085803037225
