Effect,Coefficient,SE,p-value
Intercept,0.22439935731708097,0.008013524130883855,1.511359804050823e-172
Group[T.HFD],-0.006660071967137457,0.013041131262774619,0.6095629541804181
Group[T.GLP1],0.13722831322002035,0.03042274358899008,6.460960509004909e-06
Day_num,0.07635578777707755,0.0017737392857046874,0.0
Group[T.HFD]:Day_num,-0.002873707454782219,0.0028865191861191276,0.3194632347028843
Group[T.GLP1]:Day_num,-0.03324034206166686,0.006735885217424452,8.022709378328618e-07
Group Var,0.19962671104777843,0.014544354340652033,7.155836992765039e-43
