comparison,r,p_value,N
delta_weight vs learning_slope,0.3069760449257738,0.11935304959659807,27
delta_weight vs day5_SW_TOTAL,0.16215789304487188,0.4190353976453437,27
delta_weight vs day8_SW_TOTAL,0.18015982110254503,0.3685299586919547,27
