Group,n_pairs,Day5_mean,Day8_mean,t_stat,p_value
Control,357,0.45188188056098,0.39712091333874544,7.413518984513719,9.056966538528844e-13
GLP1,27,0.3819379508687246,0.3064130139109363,2.757259091862214,0.010518961047890336
HFD,219,0.44499383014424376,0.3804632364714834,7.399401207687958,2.927967706261371e-12
