Effect,Coefficient,SE,p_value
Intercept,-15.770321635157156,1.6648741738423831,2.7353761885647765e-21
Sex[T.M],4.1572719789140145,2.4864921779741866,0.09453565866050939
day_c,-0.21594351056318573,0.012898600592850907,6.518613615983847e-63
day_c:Sex[T.M],0.10962149437495858,0.019112864003394497,9.723521149967601e-09
Group Var,1.3427559400233111,0.3662917223178401,0.00024655672303568833
