Sex,n_mice,mean_start_weight_g,mean_end_weight_g,mean_delta_weight_g,mean_start_pct,mean_end_pct,paired_t,paired_p,cohens_d
F,16,43.5625,32.875,-10.6875,0.0,-23.75276921357421,7.000127678105267,4.279203433053315e-06,-1.7500319195263168
M,13,49.84615384615385,42.69230769230769,-7.153846153846154,0.0,-14.645704197222056,7.303014343371245,9.437919784757498e-06,-2.025491744651846
