Day,mean_pct,sd_pct,n,sem_pct
0,0.0,0.0,29,0.0
4,0.0,0.0,29,0.0
6,-3.887622224259091,3.6709679848844035,29,0.6816816413902399
8,-7.464904077170338,3.328573189725774,29,0.6181005241131959
11,-8.5105370250469,5.210028799195212,29,0.9674780597787344
13,-13.266963996570716,6.399413460333731,29,1.18834124665145
15,-15.321522022131843,6.480317063343211,29,1.2033646685720372
18,-12.871116172161688,7.488066567813596,29,1.3904990536024218
19,-16.364584540587835,8.222854043912623,29,1.526945662464893
20,-16.105072648514692,8.156196128496008,29,1.5145675983194276
21,-16.105072648514692,8.156196128496008,29,1.5145675983194276
22,-17.234693462810334,8.844797607060222,29,1.642437682750627
25,-11.564676448781464,10.053247077215746,29,1.8668411157810363
26,-12.445782552056617,10.58375464073436,29,1.9653538971941091
28,-14.205385643589109,9.368564989063008,29,1.7396988438777437
29,-18.363036802591758,8.357341792066617,29,1.551919410339019
30,-16.866454221563053,9.026929053002826,29,1.6762586431976143
32,-14.474303393936776,8.001089025636684,29,1.4857649324003026
34,-17.03944655172448,8.434875891739832,29,1.5663171311980901
36,-15.819910197068037,8.796448471881918,29,1.633459473743124
39,-13.459678425307795,9.466691624747853,29,1.7579205026754172
41,-16.727082067660714,8.70605353740427,29,1.6166735558158045
43,-17.073271904654604,8.902672519444973,29,1.6531847841778806
46,-13.30669640567931,9.606972939325743,29,1.78397008882588
48,-16.727082067660714,8.70605353740427,29,1.6166735558158045
50,-17.073271904654604,8.902672519444973,29,1.6531847841778806
53,-15.310389845458143,9.240513180921008,29,1.7159202200606318
55,-15.934341879955339,8.935624957817952,29,1.6593038983653094
57,-15.131899828488235,9.463391010132577,29,1.7573075939282414
60,-16.71121553059878,10.042226248398586,29,1.8647945992468424
67,-14.002887578591709,10.850088281684258,28,2.050473949745191
69,-20.15526521983367,10.685478502069929,28,2.0193656254431436
71,-18.738461554854595,10.682150282379402,27,2.055780780351928
