term,estimate,std_error,t_value,p_value,model,N
Intercept,0.5444464348709214,0.06455921393881886,8.433287855500836,1.71494771575422e-08,GLM: day5_SW_TOTAL ~ genotype + sex,27
genotype[T.APOE33HN],-0.12735366944865642,0.06758597711052876,-1.8843209034380721,0.07222270215861994,GLM: day5_SW_TOTAL ~ genotype + sex,27
genotype[T.APOE44HN],-0.15923824181046062,0.07201390943977964,-2.2112150701055993,0.03723558319364252,GLM: day5_SW_TOTAL ~ genotype + sex,27
sex[T.M],-0.13176405916122833,0.056566576533266646,-2.329362447517718,0.028981524240376838,GLM: day5_SW_TOTAL ~ genotype + sex,27
