Group,Day,Q1,Median,Q3,n
Control,5,0.3447395301327886,0.45175970873786403,0.5422233217878938,361
Control,8,0.3039184197848081,0.394707024927161,0.4941768131286396,357
GLP1,5,0.2599720127036885,0.3716561336680807,0.4521346209183077,27
GLP1,8,0.270792545007484,0.3058001035732781,0.3642829470998722,27
HFD,5,0.3534683245751883,0.4561249389946316,0.5463035746442477,219
HFD,8,0.2698892947316729,0.3762479201331115,0.47587268988254533,219
