Effect,Coefficient,SE,p-value
Intercept,0.0763520680364067,0.0021256852857737605,4.870751337910891e-152
Group[T.HFD],-0.0028699877141110447,0.0034593213377559313,0.40707071501690345
Group[T.GLP1],-0.03343538502559231,0.008058105462599562,3.814045653158986e-05
