group1,group2,meandiff,p-adj,lower,upper,reject
Control,GLP1,-0.0688,0.0385,-0.1347,-0.0029,True
Control,HFD,-0.0057,0.8838,-0.034,0.0226,False
GLP1,HFD,0.0631,0.0721,-0.0043,0.1304,False
