Animal Code,Genotype ,Sex,Age (months),Day 1 Average (m),Day 2 Average (m),Day 3 Average (m),Day 4 Average (m),Day 5 Average (m),SW Day 1 Average Distance (m),SW Day 2 Average Distance (m),SW Day 3 Average Distance (m),SW Day 4 Average Distance (m),SW Day 5 Average Distance (m),,,,,,,,,,,,,,,,,,,,,,,,,,
250530_14,APOE33HN,M,11,6.147,2.184,3.083,4.451,2.176,3.159,1.114,1.326,1.046,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_15,APOE33HN,F,12,5.029,5.378,4.288,0.437,1.982,1.639,1.32,1.414,0.265,0.723,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_16,APOE33HN,F,12,11.117,5.408,9.703,1.862,1.502,2.374,1.373,3.344,1.203,0.915,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_18,APOE33HN,F,12,6.224,6.712,6.776,2.436,1.022,2.131,2.095,3.045,1.044,0.234,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_19,APOE33HN,F,11,11.003,5.448,6.27,8.824,5.403,2.602,1.595,1.646,3.189,1.883,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_20,APOE33HN,F,11,7.553,8.913,3.032,1.042,1.062,1.651,2.53,1.035,0.347,0.907,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_21,APOE33HN,F,11,8.245,10.109,7.451,5.48,4.723,4.57,2.489,1.597,1.127,1.008,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_22,APOE33HN,F,8,6.755,3.617,7.262,2.839,1.314,1.747,0.68,1.807,1.056,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_23,APOE44HN,M,15,11.167,3.838,1.492,1.216,3.064,3.782,0.999,0.477,0.444,1.136,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_25,APOE44HN,M,13,9.729,4.638,2.695,3.377,3.455,2.702,2.061,0.738,0.897,1.334,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_26,APOE44HN,M,13,10.268,3.536,4.11,4.135,3.099,2.202,0.804,1.773,1.599,1.223,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_27,APOE44HN,F,11,7.467,8.491,5.467,7.622,3.517,2.156,2.149,1.61,2.285,1.184,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_28,APOE44HN,F,11,6.026,9.137,8.283,1.916,5.917,1.761,2.638,2.698,0.826,1.937,,,,,,,,,,,,,,,,,,,,,,,,,,
250530_29,APOE44HN,F,11,6.149,4.008,6.125,7.246,3.968,1.149,0.886,2.193,2.097,1.54,,,,,,,,,,,,,,,,,,,,,,,,,,
