Genotype,n_mice,mean_start_weight_g,mean_end_weight_g,mean_delta_weight_g,mean_start_pct,mean_end_pct,paired_t,paired_p,cohens_d
APOE22HN,9,49.77777777777778,39.77777777777778,-10.0,0.0,-20.317126694895357,4.160251471689218,0.00316412378123504,-1.386750490563073
APOE33HN,12,42.416666666666664,32.75,-9.666666666666666,0.0,-22.191569930893266,8.21739298349881,5.057694926963478e-06,-2.3721570255299897
APOE44HN,8,48.5,41.25,-7.25,0.0,-15.160685319537077,4.269192686205492,0.0037043597207772885,-1.509387549303958
