Test,AnimalID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),NE : time (s),NE : distance (m),NE : average speed (m/s),NW : time (s),NW : distance (m),NW : average speed (m/s),SE : time (s),SE : distance (m),SE : average speed (m/s),SW : time (s),SW : distance (m),SW : average speed (m/s),Island : distance to first entry (m),Island : latency to first entry (s),Thigmitaxis : time (s),Thigmitaxis : distance (m),Thigmitaxis : average speed (m/s),Diet,Sex,Age (months)
463,250530_4,,,Day5,2,MWM_150,12/19/2025,31.5,5.233,0.166,4,0.856,0.216,1.7,0.314,0.185,15.8,3.061,0.194,10,1.002,0.1,5.19,26.4,0,0,,HFD,M,11
464,250530_5,,,Day5,2,MWM_150,12/19/2025,10.6,0.878,0.083,0,0,,0,0,,4.2,0.605,0.145,6.5,0.273,0.042,0.841,5.6,0,0,,HFD,M,11
465,250530_6,,,Day5,2,MWM_150,12/19/2025,26.2,3.043,0.116,0,0,,0.9,0.166,0.192,8.1,1.108,0.137,17.2,1.769,0.103,3.043,21.1,0,0,,HFD,M,11
466,250530_8,,,Day5,2,MWM_150,12/19/2025,11.9,0.904,0.076,0,0,,0,0,,2.7,0.362,0.134,9.3,0.541,0.059,0.87,6.9,0,0,,HFD,F,12
467,250530_9,,,Day5,2,MWM_150,12/19/2025,10.7,0.822,0.077,0,0,,0,0,,2.5,0.426,0.171,8.2,0.396,0.048,0.822,5.6,0,0,,HFD,F,12
468,250530_11,,,Day5,2,MWM_150,12/19/2025,45.6,5.594,0.123,4,0.415,0.103,15.4,2.403,0.156,18.5,2.425,0.131,7.7,0.351,0.046,5.556,40.6,15.2,1.594,0.105,HFD,M,12
469,250530_12,,,Day5,2,MWM_150,12/19/2025,26,2.612,0.1,2.2,0.284,0.127,2.7,0.43,0.159,13.6,1.579,0.116,7.4,0.32,0.043,2.57,20.9,0.6,0.042,0.074,HFD,M,12
470,250530_13,,,Day5,2,MWM_150,12/19/2025,26.6,2.367,0.089,3.3,0.287,0.087,0,0,,16.8,1.866,0.111,6.5,0.214,0.033,2.33,21.5,0,0,,HFD,M,11
471,250530_14,,,Day5,2,MWM_150,12/19/2025,23.7,1.446,0.061,0,0,,0,0,,11.4,0.822,0.072,12.3,0.624,0.051,1.413,18.6,1.8,0.163,0.092,HFD,M,11
472,250530_15,,,Day5,2,MWM_150,12/19/2025,12.3,0.788,0.064,0,0,,0,0,,3.6,0.357,0.099,8.7,0.432,0.05,0.723,7.3,0,0,,HFD,F,12
473,250530_16,,,Day5,2,MWM_150,12/19/2025,14.9,1.177,0.079,1.2,0.088,0.075,0,0,,3.7,0.545,0.149,10.1,0.543,0.054,1.144,9.8,0,0,,HFD,F,12
474,250530_18,,,Day5,2,MWM_150,12/19/2025,15.8,1.076,0.068,1.6,0.114,0.071,0,0,,6.9,0.732,0.106,7.3,0.23,0.032,1.076,10.8,0,0,,HFD,F,12
475,250530_19,,,Day5,2,MWM_150,12/19/2025,7.6,0.418,0.055,0,0,,0,0,,1,0.115,0.113,6.6,0.303,0.046,0.383,2.6,0,0,,HFD,F,11
476,250530_20,,,Day5,2,MWM_150,12/19/2025,13.8,0.956,0.069,0,0,,0,0,,0,0,,13.8,0.956,0.069,0.856,8.7,0,0,,HFD,F,11
477,250530_21,,,Day5,2,MWM_150,12/19/2025,30,3.247,0.108,6.4,0.828,0.13,2.4,0.268,0.112,8.7,1.17,0.134,11.8,0.913,0.077,3.214,24.9,5,0.564,0.112,HFD,F,11
478,250530_22,,,Day5,2,MWM_150,12/19/2025,30.9,4.257,0.138,3,0.499,0.166,0.9,0.224,0.259,12.4,1.946,0.156,14.6,1.588,0.109,4.257,25.8,0.8,0.072,0.085,HFD,F,8
479,250530_23,,,Day5,2,MWM_150,12/19/2025,17.7,1.585,0.089,0,0,,1.9,0.132,0.071,7.5,0.948,0.127,8.4,0.505,0.06,1.542,12.7,0,0,,HFD,M,15
480,250530_25,,,Day5,2,MWM_150,12/19/2025,21.3,2.284,0.107,0,0,,0,0,,10,1.233,0.123,11.3,1.051,0.093,2.196,16.2,1,0.187,0.187,HFD,M,13
481,250530_26,,,Day5,2,MWM_150,12/19/2025,29.9,2.339,0.078,0,0,,0,0,,16.7,1.052,0.063,13.2,1.287,0.098,2.302,24.8,0,0,,HFD,M,13
482,250530_27,,,Day5,2,MWM_150,12/19/2025,60,8.835,0.147,12.9,2.105,0.163,13,1.972,0.152,19.2,2.489,0.13,14.5,2.269,0.157,,,11.6,0.77,0.067,HFD,F,11
483,250530_28,,,Day5,2,MWM_150,12/19/2025,60,11.626,0.194,8.3,1.861,0.224,8.8,1.87,0.213,24.3,4.696,0.194,18.6,3.199,0.172,,,4.8,0.926,0.191,HFD,F,11
484,250530_29,,,Day5,2,MWM_150,12/19/2025,20.5,1.718,0.084,2.2,0.303,0.136,0,0,,11.6,1.114,0.096,6.7,0.3,0.045,1.64,15.5,6.8,0.244,0.036,HFD,F,11
485,250530_30,,,Day5,2,MWM_150,12/19/2025,60,10.716,0.179,3.3,0.68,0.208,19.8,3.297,0.167,17.4,2.962,0.171,19.6,3.777,0.193,,,8.2,0.852,0.104,HFD,F,11
486,250530_31,,,Day5,2,MWM_150,12/19/2025,60,10.199,0.17,19.5,3.338,0.171,11.3,2.217,0.196,18,2.83,0.157,10.9,1.767,0.162,,,23,3.793,0.165,HFD,F,11
487,250530_1,,,Day5,3,MWM_150,12/19/2025,5.4,0,0,0,0,,0,0,,0,0,,5.4,0,0,0,0,0,0,,HFD,M,12
488,250530_2,,,Day5,3,MWM_150,12/19/2025,12.8,1.194,0.094,0,0,,5.9,0.959,0.161,0,0,,6.8,0.236,0.035,1.153,7.7,0,0,,HFD,M,12
489,250530_3,,,Day5,3,MWM_150,12/19/2025,7.8,0.473,0.061,0,0,,1.5,0.219,0.144,0,0,,6.2,0.254,0.041,0.434,2.7,0,0,,HFD,M,11
490,250530_4,,,Day5,3,MWM_150,12/19/2025,43.7,6.988,0.16,11.4,2.211,0.195,5.9,1.041,0.176,13.6,2.475,0.182,12.8,1.261,0.098,6.988,38.6,1.6,0.178,0.114,HFD,M,11
491,250530_5,,,Day5,3,MWM_150,12/19/2025,9.7,0.826,0.085,0,0,,3.2,0.568,0.176,0,0,,6.5,0.258,0.04,0.783,4.7,0,0,,HFD,M,11
492,250530_6,,,Day5,3,MWM_150,12/19/2025,46.2,7.756,0.168,11.3,1.891,0.167,11.1,2.46,0.222,12.1,2.125,0.176,11.7,1.28,0.109,7.719,41.2,2.2,0.541,0.25,HFD,M,11
493,250530_8,,,Day5,3,MWM_150,12/19/2025,12.7,1.046,0.083,0,0,,4.8,0.663,0.139,0,0,,7.9,0.383,0.049,1.046,7.6,0.9,0.076,0.084,HFD,F,12
494,250530_9,,,Day5,3,MWM_150,12/19/2025,8.4,0.494,0.059,0,0,,2.1,0.296,0.142,0,0,,6.3,0.198,0.031,0.494,3.3,0,0,,HFD,F,12
495,250530_11,,,Day5,3,MWM_150,12/19/2025,53.3,6.444,0.121,23.2,3.28,0.141,11.6,1.374,0.119,7.3,0.938,0.129,11.2,0.852,0.076,6.37,48.3,8,1.139,0.142,HFD,M,12
496,250530_12,,,Day5,3,MWM_150,12/19/2025,17.2,1.009,0.059,0,0,,9.8,0.698,0.071,0,0,,7.4,0.31,0.042,0.926,12.1,0,0,,HFD,M,12
497,250530_13,,,Day5,3,MWM_150,12/19/2025,8.7,0.285,0.033,0,0,,1.1,0.04,0.035,0,0,,7.6,0.245,0.032,0.245,3.7,0,0,,HFD,M,11
498,250530_14,,,Day5,3,MWM_150,12/19/2025,30.2,2.037,0.067,1.6,0.146,0.089,7.2,0.366,0.051,4.5,0.44,0.097,16.8,1.084,0.064,2.001,25.1,1.3,0.141,0.108,HFD,M,11
499,250530_15,,,Day5,3,MWM_150,12/19/2025,22.6,2.254,0.1,2.2,0.282,0.13,5.6,0.684,0.123,3.4,0.477,0.142,11.5,0.811,0.07,2.22,17.6,0,0,,HFD,F,12
500,250530_16,,,Day5,3,MWM_150,12/19/2025,30.9,3.11,0.101,0,0,,8.1,0.685,0.085,0.8,0.109,0.136,22,2.315,0.105,3.075,25.9,0,0,,HFD,F,12
501,250530_18,,,Day5,3,MWM_150,12/19/2025,11.4,0.766,0.067,0,0,,4.4,0.507,0.115,0,0,,7,0.259,0.037,0.726,6.3,0,0,,HFD,F,12
502,250530_19,,,Day5,3,MWM_150,12/19/2025,36.3,3.691,0.102,2,0.248,0.123,2.8,0.416,0.147,4.2,0.564,0.135,27.3,2.464,0.09,3.657,31.3,0.3,0.043,0.142,HFD,F,11
503,250530_20,,,Day5,3,MWM_150,12/19/2025,18.1,1.54,0.085,0,0,,1.3,0.115,0.088,0.8,0.079,0.098,16,1.347,0.084,1.505,13,0,0,,HFD,F,11
504,250530_21,,,Day5,3,MWM_150,12/19/2025,39.1,4.181,0.107,7,0.763,0.11,2.8,0.331,0.117,10,1.48,0.148,18.2,1.464,0.08,4.181,34.1,21.4,2.492,0.116,HFD,F,11
505,250530_22,,,Day5,3,MWM_150,12/19/2025,6,0.101,0.017,0,0,,0,0,,0,0,,6,0.101,0.017,0.033,0.9,0,0,,HFD,F,8
506,250530_23,,,Day5,3,MWM_150,12/19/2025,20.9,1.387,0.066,0,0,,3.6,0.23,0.064,0,0,,17.3,1.157,0.067,1.341,15.8,0,0,,HFD,M,15
507,250530_25,,,Day5,3,MWM_150,12/19/2025,28,2.465,0.088,3.8,0.507,0.132,14,1.178,0.084,0,0,,10.2,0.78,0.076,2.465,22.9,0,0,,HFD,M,13
508,250530_26,,,Day5,3,MWM_150,12/19/2025,25.7,1.456,0.057,0,0,,14.1,1,0.071,0,0,,11.6,0.456,0.039,1.417,20.6,0,0,,HFD,M,13
509,250530_27,,,Day5,3,MWM_150,12/19/2025,20.3,1.499,0.074,0,0,,10,0.624,0.062,0,0,,10.3,0.875,0.085,1.382,15.3,6.8,0.35,0.052,HFD,F,11
510,250530_28,,,Day5,3,MWM_150,12/19/2025,16.4,1.416,0.086,3.2,0.454,0.143,1.8,0.127,0.07,2.1,0.27,0.128,9.3,0.565,0.061,1.335,11.3,0,0,,HFD,F,11
511,250530_29,,,Day5,3,MWM_150,12/19/2025,60,8.897,0.148,7.7,1.067,0.139,20.6,3.347,0.162,11.7,1.529,0.13,20,2.955,0.148,,,17.2,1.853,0.108,HFD,F,11
512,250530_30,,,Day5,3,MWM_150,12/19/2025,16.8,1.535,0.091,0,0,,8.8,1.174,0.133,0,0,,8,0.361,0.045,1.535,11.8,0,0,,HFD,F,11
513,250530_31,,,Day5,3,MWM_150,12/19/2025,16.2,1.385,0.086,0,0,,6.1,0.676,0.111,0,0,,10.1,0.709,0.07,1.315,11.1,0,0,,HFD,F,11
514,250530_1,,,Day5,4,MWM_150,12/19/2025,13.3,0.946,0.071,0,0,,0,0,,6.6,0.743,0.112,6.7,0.203,0.03,0.908,8.2,0,0,,HFD,M,12
515,250530_2,,,Day5,4,MWM_150,12/19/2025,7.4,0.346,0.047,0,0,,0,0,,1.2,0.137,0.116,6.2,0.209,0.034,0.305,2.3,0,0,,HFD,M,12
516,250530_3,,,Day5,4,MWM_150,12/19/2025,12.4,1.132,0.092,1.1,0.138,0.127,3,0.415,0.14,0.4,0.057,0.155,7.9,0.522,0.066,1.132,7.3,0,0,,HFD,M,11
517,250530_4,,,Day5,4,MWM_150,12/19/2025,33.2,4.96,0.149,10.6,1.743,0.165,0,0,,13.1,2.442,0.187,9.6,0.775,0.081,4.922,28.2,0,0,,HFD,M,11
518,250530_5,,,Day5,4,MWM_150,12/19/2025,22.5,2.772,0.123,0,0,,1.5,0.191,0.125,6.2,0.994,0.16,14.8,1.587,0.107,2.73,17.5,0,0,,HFD,M,11
519,250530_6,,,Day5,4,MWM_150,12/19/2025,9.2,0.546,0.059,0,0,,0,0,,2.6,0.249,0.096,6.6,0.297,0.045,0.508,4.2,0,0,,HFD,M,11
520,250530_8,,,Day5,4,MWM_150,12/19/2025,13.6,0.974,0.072,0,0,,0,0,,1,0.037,0.038,12.6,0.937,0.074,0.974,8.5,0,0,,HFD,F,12
521,250530_9,,,Day5,4,MWM_150,12/19/2025,11.8,0.896,0.076,0,0,,5.2,0.706,0.134,0,0,,6.5,0.19,0.029,0.896,6.7,0,0,,HFD,F,12
522,250530_11,,,Day5,4,MWM_150,12/19/2025,60,7.523,0.125,14.6,2.021,0.138,0,0,,41.5,5.202,0.125,3.6,0.3,0.083,,,17.1,1.636,0.096,HFD,M,12
523,250530_12,,,Day5,4,MWM_150,12/19/2025,22.1,1.89,0.085,7.2,0.53,0.073,0,0,,5.6,0.711,0.127,9.3,0.649,0.07,1.853,17,0,0,,HFD,M,12
524,250530_13,,,Day5,4,MWM_150,12/19/2025,51.1,8.247,0.162,15.4,2.241,0.145,9.1,1.609,0.177,10.3,1.885,0.184,16.2,2.512,0.155,8.247,46,1,0.172,0.166,HFD,M,11
525,250530_14,,,Day5,4,MWM_150,12/19/2025,45.9,4.808,0.105,21,2.198,0.105,10.2,1.241,0.122,6,0.731,0.122,8.8,0.639,0.073,4.774,40.9,0,0,,HFD,M,11
526,250530_15,,,Day5,4,MWM_150,12/19/2025,27.4,3.469,0.127,5,0.886,0.177,0.8,0.174,0.209,10.5,1.463,0.139,11,0.947,0.086,3.469,22.3,0,0,,HFD,F,12
527,250530_16,,,Day5,4,MWM_150,12/19/2025,17,1.241,0.073,4.3,0.23,0.054,0,0,,5.3,0.687,0.13,7.5,0.325,0.043,1.241,12,0,0,,HFD,F,12
528,250530_18,,,Day5,4,MWM_150,12/19/2025,21.8,2.098,0.096,1.4,0.147,0.108,2.1,0.227,0.106,11.4,1.423,0.124,6.9,0.3,0.043,2.06,16.8,0,0,,HFD,F,12
529,250530_19,,,Day5,4,MWM_150,12/19/2025,60,11.037,0.184,10.2,1.764,0.173,12.8,2.542,0.199,20.7,3.685,0.178,16.4,3.047,0.186,,,2,0.343,0.169,HFD,F,11
530,250530_20,,,Day5,4,MWM_150,12/19/2025,13.2,1.007,0.076,1.3,0.118,0.093,0,0,,1.9,0.273,0.144,10.1,0.616,0.061,0.931,8.2,0,0,,HFD,F,11
531,250530_21,,,Day5,4,MWM_150,12/19/2025,60,8.537,0.142,9.1,1.374,0.151,10.8,1.694,0.156,32.2,4.085,0.127,6.5,1.148,0.176,,,21.5,3.194,0.149,HFD,F,11
532,250530_22,,,Day5,4,MWM_150,12/19/2025,8.3,0.59,0.072,0.8,0.08,0.096,0,0,,1.2,0.264,0.22,6.2,0.246,0.04,0.555,3.2,0,0,,HFD,F,8
533,250530_23,,,Day5,4,MWM_150,12/19/2025,14.3,1.248,0.087,0.7,0.053,0.078,0,0,,5.5,0.81,0.147,8.1,0.385,0.048,1.208,9.2,0,0,,HFD,M,15
534,250530_25,,,Day5,4,MWM_150,12/19/2025,12.8,0.746,0.058,0,0,,0,0,,5.8,0.487,0.084,7,0.259,0.037,0.708,7.7,0,0,,HFD,M,13
535,250530_26,,,Day5,4,MWM_150,12/19/2025,57,7.752,0.136,14,1.792,0.128,6.3,1.3,0.206,17.9,2.291,0.128,18.8,2.368,0.126,7.752,51.9,3.4,0.34,0.1,HFD,M,13
536,250530_27,,,Day5,4,MWM_150,12/19/2025,33.1,3.648,0.11,10.5,0.894,0.085,4.5,0.68,0.15,3.7,0.567,0.155,14.3,1.507,0.105,3.57,28,1.5,0.078,0.052,HFD,F,11
537,250530_28,,,Day5,4,MWM_150,12/19/2025,57.3,10.06,0.176,6.8,1.38,0.204,6.1,1.416,0.232,22.2,3.846,0.173,22.2,3.417,0.154,10.022,52.2,4.2,0.808,0.191,HFD,F,11
538,250530_29,,,Day5,4,MWM_150,12/19/2025,14.4,1.558,0.108,1.1,0.134,0.12,0,0,,6.6,1.044,0.159,6.7,0.379,0.056,1.519,9.4,2.1,0.204,0.099,HFD,F,11
539,250530_30,,,Day5,4,MWM_150,12/19/2025,11.6,0.716,0.062,0,0,,0,0,,1.3,0.097,0.077,10.4,0.619,0.06,0.679,6.5,0,0,,HFD,F,11
540,250530_31,,,Day5,4,MWM_150,12/19/2025,60,11.184,0.186,28.6,4.286,0.15,9.3,1.58,0.17,11.2,2.576,0.229,10.4,2.633,0.252,,,26.4,4.323,0.164,HFD,F,11
541,250530_1,,,Probe_D5,1,MWM_150,12/19/2025,60,9.196,0.153,10,1.65,0.165,11.4,1.712,0.151,18,2.44,0.135,20.6,3.394,0.164,2.603,21.3,5.6,0.694,0.123,HFD,M,12
542,250530_2,,,Probe_D5,1,MWM_150,12/19/2025,60,11.594,0.193,8.4,1.813,0.216,8,1.568,0.197,19.5,3.712,0.19,24.1,4.502,0.186,1.055,6.6,0,0,,HFD,M,12
543,250530_3,,,Probe_D5,1,MWM_150,12/19/2025,60,10.18,0.17,4.8,0.864,0.18,24.9,4.35,0.175,4.9,0.903,0.183,25.4,4.064,0.16,3.078,18.2,4,0.494,0.122,HFD,M,11
544,250530_4,,,Probe_D5,1,MWM_150,12/19/2025,60,11.025,0.184,21.4,3.648,0.171,4.8,1.049,0.219,14.2,2.433,0.172,19.7,3.895,0.198,10.923,59.6,11.7,1.664,0.142,HFD,M,11
545,250530_5,,,Probe_D5,1,MWM_150,12/19/2025,60,10.453,0.174,3,0.603,0.199,6.3,1.024,0.162,18.7,3.373,0.181,32,5.453,0.171,2.428,14.5,9.5,0.822,0.087,HFD,M,11
546,250530_6,,,Probe_D5,1,MWM_150,12/19/2025,60,11.037,0.184,11.6,2.419,0.209,13.1,2.353,0.18,13,2.495,0.193,21.7,3.707,0.171,3.28,20.4,5.6,0.956,0.17,HFD,M,11
547,250530_8,,,Probe_D5,1,MWM_150,12/19/2025,60,10.811,0.18,6.1,1.22,0.2,4.4,0.948,0.215,9.6,1.894,0.197,39.9,6.749,0.169,0.979,6.4,5.6,0.744,0.133,HFD,F,12
548,250530_9,,,Probe_D5,1,MWM_150,12/19/2025,60,8.793,0.147,3.9,0.552,0.14,6.7,0.92,0.137,14.7,2.28,0.155,34.7,5.041,0.145,3.641,26.8,0,0,,HFD,F,12
549,250530_11,,,Probe_D5,1,MWM_150,12/19/2025,60,7.731,0.129,21,2.483,0.118,19.3,2.407,0.125,8.3,1.261,0.152,11.4,1.58,0.139,3.084,27.9,11.5,1.025,0.089,HFD,M,12
550,250530_12,,,Probe_D5,1,MWM_150,12/19/2025,60,9.703,0.162,14.9,2.313,0.155,16.5,2.701,0.163,14.8,2.227,0.15,13.7,2.463,0.179,1.315,11.3,2.4,0.329,0.137,HFD,M,12
551,250530_13,,,Probe_D5,1,MWM_150,12/19/2025,60,9.606,0.16,20.9,2.831,0.135,5,0.936,0.187,22.7,3.757,0.165,11.3,2.082,0.184,8.471,54.1,1.2,0.198,0.165,HFD,M,11
552,250530_14,,,Probe_D5,1,MWM_150,12/19/2025,60,6.778,0.113,29.6,2.936,0.099,11.6,1.513,0.13,9.2,1.172,0.127,9.5,1.157,0.122,,,13.7,1.705,0.125,HFD,M,11
553,250530_15,,,Probe_D5,1,MWM_150,12/19/2025,60,10.312,0.172,20.8,3.698,0.178,6.3,1.264,0.202,21.8,3.45,0.158,11.1,1.9,0.171,2.217,16.1,7.8,1.422,0.181,HFD,F,12
554,250530_16,,,Probe_D5,1,MWM_150,12/19/2025,60,9.44,0.157,7.6,1.269,0.168,10.8,1.762,0.163,10.7,1.858,0.173,30.9,4.55,0.147,1.437,12,6.2,0.988,0.16,HFD,F,12
555,250530_18,,,Probe_D5,1,MWM_150,12/19/2025,60,10.597,0.177,4,0.815,0.206,7.1,1.433,0.201,22.4,3.839,0.171,26.5,4.509,0.17,1.509,9.8,3.3,0.597,0.183,HFD,F,12
556,250530_19,,,Probe_D5,1,MWM_150,12/19/2025,60,10.682,0.178,6.5,1.224,0.189,6.6,1.255,0.19,12.2,2.529,0.207,34.7,5.674,0.164,0.428,2.4,6.7,0.891,0.133,HFD,F,11
557,250530_20,,,Probe_D5,1,MWM_150,12/19/2025,60,10.786,0.18,7.6,1.501,0.198,17.3,3.239,0.187,14,2.342,0.167,21.1,3.704,0.176,0.952,7.7,2.8,0.498,0.178,HFD,F,11
558,250530_21,,,Probe_D5,1,MWM_150,12/19/2025,60,6.165,0.103,4.5,0.51,0.114,3.4,0.459,0.136,0.7,0.074,0.099,51.4,5.122,0.1,1.241,10.4,8.8,0.761,0.087,HFD,F,11
559,250530_22,,,Probe_D5,1,MWM_150,12/19/2025,60,11.622,0.194,7.9,1.539,0.194,6.8,1.521,0.225,19.2,3.702,0.193,26.1,4.86,0.186,1.86,10.6,3.1,0.547,0.178,HFD,F,8
560,250530_23,,,Probe_D5,1,MWM_150,12/19/2025,60,10.365,0.173,8.1,1.73,0.214,14,2.018,0.144,10.7,2.065,0.192,27.2,4.552,0.168,1.602,13.4,6.6,0.758,0.116,HFD,M,15
561,250530_25,,,Probe_D5,1,MWM_150,12/19/2025,60,9.398,0.157,2.1,0.388,0.185,3.2,0.491,0.155,27.1,4.149,0.153,27.6,4.371,0.158,1.726,14,10.5,1.003,0.096,HFD,M,13
562,250530_26,,,Probe_D5,1,MWM_150,12/19/2025,60,8.867,0.148,17.6,2.834,0.161,4,0.929,0.23,22.5,2.794,0.124,15.9,2.309,0.146,7.161,52,1.1,0.133,0.121,HFD,M,13
563,250530_27,,,Probe_D5,1,MWM_150,12/19/2025,60,9.391,0.157,9.2,1.278,0.139,14.1,2.246,0.159,23.9,3.777,0.158,12.9,2.09,0.162,,,5.2,0.581,0.113,HFD,F,11
564,250530_28,,,Probe_D5,1,MWM_150,12/19/2025,60,11.551,0.193,6.6,1.431,0.217,5.5,1.297,0.236,24.3,4.53,0.186,23.6,4.293,0.182,,,19.9,3.948,0.199,HFD,F,11
565,250530_29,,,Probe_D5,1,MWM_150,12/19/2025,60,9.85,0.164,1.6,0.278,0.17,12.8,1.643,0.129,29.9,5.081,0.17,15.7,2.849,0.182,7.347,43.4,18,1.385,0.077,HFD,F,11
566,250530_30,,,Probe_D5,1,MWM_150,12/19/2025,60,9.968,0.166,0,0,,14,2.38,0.17,22.3,3.813,0.171,23.7,3.775,0.16,1.487,13,6.3,0.816,0.129,HFD,F,11
567,250530_31,,,Probe_D5,1,MWM_150,12/19/2025,60,13.443,0.224,16,3.297,0.206,13.9,2.817,0.202,13.9,3.7,0.266,15.5,3.489,0.225,4.817,23,7.7,1.517,0.196,HFD,F,11
568,250530_1,,,Probe_D8,1,MWM_150,12/22/2025,60,10.705,0.178,16.4,2.791,0.17,14.5,2.786,0.192,14.3,2.524,0.176,14.7,2.604,0.178,1.921,10.9,4.2,0.613,0.147,HFD,M,12
569,250530_2,,,Probe_D8,1,MWM_150,12/22/2025,60,11.645,0.194,7.6,1.477,0.194,10.7,2.115,0.198,15,3.014,0.201,26.6,5.039,0.189,1.181,7.6,2.8,0.159,0.058,HFD,M,12
570,250530_3,,,Probe_D8,1,MWM_150,12/22/2025,60,11.569,0.193,10.4,2.203,0.211,11.8,2.224,0.189,23.2,4.5,0.194,14.6,2.642,0.181,,,14.7,2.339,0.159,HFD,M,11
571,250530_4,,,Probe_D8,1,MWM_150,12/22/2025,60,11.586,0.193,15.8,3.18,0.201,11.3,2.112,0.187,12.8,2.396,0.187,17.3,3.543,0.204,4.898,25.1,7.9,1.068,0.136,HFD,M,11
572,250530_5,,,Probe_D8,1,MWM_150,12/22/2025,60,12.078,0.201,16,3.333,0.208,7.3,1.503,0.205,16.1,3.07,0.19,20.5,4.172,0.203,6.801,32.6,7,0.866,0.124,HFD,M,11
573,250530_6,,,Probe_D8,1,MWM_150,12/22/2025,60,13.684,0.228,7,1.368,0.195,16.4,3.705,0.226,13.9,3.024,0.217,22.7,5.588,0.246,12.226,53.9,4.8,0.723,0.152,HFD,M,11
574,250530_8,,,Probe_D8,1,MWM_150,12/22/2025,60,11.641,0.194,2.7,0.641,0.237,5.9,1.255,0.213,30,5.676,0.189,21.4,4.07,0.19,2.512,16.4,13.8,2.5,0.182,HFD,F,12
575,250530_9,,,Probe_D8,1,MWM_150,12/22/2025,60,10.078,0.168,9.7,1.471,0.152,4.9,0.713,0.146,23.7,4.262,0.18,21.7,3.631,0.167,1.338,8.8,0,0,,HFD,F,12
576,250530_11,,,Probe_D8,1,MWM_150,12/22/2025,60,9.403,0.157,14.5,2.077,0.144,17.5,2.965,0.169,10.6,1.856,0.176,14.6,2.141,0.146,,,34.2,4.867,0.142,HFD,M,12
577,250530_12,,,Probe_D8,1,MWM_150,12/22/2025,60,9.803,0.163,12.7,1.868,0.147,12,1.988,0.165,13.7,2.436,0.177,21.3,3.511,0.165,1.318,11.4,4.7,0.763,0.164,HFD,M,12
578,250530_13,,,Probe_D8,1,MWM_150,12/22/2025,60,10.979,0.183,22.4,3.706,0.165,4.5,0.982,0.218,25.2,4.813,0.191,6.8,1.378,0.204,,,12.4,2.527,0.204,HFD,M,11
579,250530_14,,,Probe_D8,1,MWM_150,12/22/2025,60,8.357,0.139,18.2,1.999,0.11,18.9,2.952,0.156,7.9,1.201,0.152,15,2.206,0.147,6.586,47.7,6,0.949,0.159,HFD,M,11
580,250530_15,,,Probe_D8,1,MWM_150,12/22/2025,60,10.1,0.168,28.2,4.779,0.169,14.4,2.635,0.183,10,1.469,0.146,6.7,1.178,0.176,,,14.8,2.352,0.159,HFD,F,12
581,250530_16,,,Probe_D8,1,MWM_150,12/22/2025,60,8.916,0.149,8.4,1.261,0.15,11.1,1.616,0.146,18.9,2.725,0.144,21.7,3.315,0.153,4.675,32.8,6.2,0.517,0.083,HFD,F,12
582,250530_18,,,Probe_D8,1,MWM_150,12/22/2025,60,10.211,0.17,15.9,2.614,0.165,10.8,1.908,0.177,16,2.784,0.174,16.5,2.858,0.173,7.029,40.9,7,1.495,0.214,HFD,F,12
583,250530_19,,,Probe_D8,1,MWM_150,12/22/2025,60,10.86,0.181,12.6,2.07,0.164,8.5,1.864,0.22,13,2.534,0.195,25.9,4.391,0.169,,,3.6,0.341,0.095,HFD,F,11
584,250530_20,,,Probe_D8,1,MWM_150,12/22/2025,60,11.692,0.195,9,1.906,0.212,15.7,2.528,0.162,14.8,2.783,0.188,20.5,4.475,0.218,2.864,17.7,1.6,0.389,0.248,HFD,F,11
585,250530_21,,,Probe_D8,1,MWM_150,12/22/2025,60,6.921,0.115,28.7,2.877,0.1,0.9,0.109,0.126,12.8,1.959,0.153,17.6,1.977,0.112,1.646,17.4,8.7,1.116,0.128,HFD,F,11
586,250530_22,,,Probe_D8,1,MWM_150,12/22/2025,60,12.122,0.202,11.1,2.23,0.201,15.9,3.16,0.199,14.7,2.915,0.199,18.4,3.817,0.208,1.686,10.1,5.5,1.175,0.212,HFD,F,8
587,250530_23,,,Probe_D8,1,MWM_150,12/22/2025,60,10.796,0.18,8.6,1.352,0.156,9.7,1.489,0.154,22,4.136,0.188,19.7,3.82,0.194,,,18.8,3.299,0.175,HFD,M,15
588,250530_25,,,Probe_D8,1,MWM_150,12/22/2025,60,9.572,0.16,4,0.677,0.171,20.6,3.138,0.153,16.5,2.835,0.172,19,2.922,0.154,,,10.7,1.163,0.109,HFD,M,13
589,250530_26,,,Probe_D8,1,MWM_150,12/22/2025,60,10.982,0.183,14.5,2.219,0.153,12.9,2.738,0.213,16.7,2.878,0.172,15.8,3.146,0.199,0.745,9.7,8.8,1.685,0.191,HFD,M,13
590,250530_27,,,Probe_D8,1,MWM_150,12/22/2025,60,10.565,0.176,21.4,3.512,0.164,13.3,2.076,0.156,9.3,2.044,0.221,16.1,2.933,0.183,1.085,13,14.1,2.26,0.16,HFD,F,11
591,250530_28,,,Probe_D8,1,MWM_150,12/22/2025,60,12.413,0.207,10.4,2.21,0.212,6.1,1.593,0.261,24.7,4.788,0.194,18.2,3.665,0.202,,,12.6,2.638,0.21,HFD,F,11
