Test,AnimalID,Treatment,Code,Stage,Trial,Apparatus,Date,Duration (s),Distance (m),Mean speed (m/s),NE : time (s),NE : distance (m),NE : average speed (m/s),NW : time (s),NW : distance (m),NW : average speed (m/s),SE : time (s),SE : distance (m),SE : average speed (m/s),SW : time (s),SW : distance (m),SW : average speed (m/s),Island : distance to first entry (m),Island : latency to first entry (s),Thigmitaxis : time (s),Thigmitaxis : distance (m),Thigmitaxis : average speed (m/s),Diet,Sex,Age (months)
387,250530_11,,,Day4,3,MWM_150,12/18/2025,60,6.295,0.105,35.8,3.486,0.097,2.6,0.185,0.071,20.3,2.519,0.124,0,0,,,,19.3,1.496,0.077,HFD,M,12
388,250530_12,,,Day4,3,MWM_150,12/18/2025,44.9,3.776,0.084,6.6,0.558,0.085,0.2,0,0,25,2.148,0.086,13.2,1.07,0.081,3.696,39.8,3.2,0.154,0.048,HFD,M,12
389,250530_13,,,Day4,3,MWM_150,12/18/2025,32.7,2.371,0.073,1.4,0.093,0.068,0,0,,20.9,1.623,0.078,10.4,0.654,0.063,2.333,27.6,1.6,0.127,0.081,HFD,M,11
390,250530_14,,,Day4,3,MWM_150,12/18/2025,42.2,3.223,0.076,13,0.973,0.075,0,0,,15.5,1.576,0.101,13.4,0.634,0.047,3.223,37.2,19.6,1.433,0.073,HFD,M,11
391,250530_15,,,Day4,3,MWM_150,12/18/2025,9.9,0.595,0.06,0,0,,0,0,,2.4,0.289,0.121,7.5,0.307,0.041,0.558,4.8,0,0,,HFD,F,12
392,250530_16,,,Day4,3,MWM_150,12/18/2025,24.2,2.728,0.113,0,0,,8.3,0.977,0.117,0,0,,15.9,1.751,0.11,2.728,19.2,1.7,0.195,0.117,HFD,F,12
393,250530_18,,,Day4,3,MWM_150,12/18/2025,22,2.501,0.114,3.8,0.532,0.141,0.7,0.138,0.189,8.6,1.278,0.148,8.8,0.552,0.063,2.463,16.9,0,0,,HFD,F,12
394,250530_19,,,Day4,3,MWM_150,12/18/2025,60,11.849,0.197,11.8,2.479,0.211,10.2,2.155,0.212,15.4,3.008,0.196,21.6,4.052,0.187,,,13.2,2.214,0.168,HFD,F,11
395,250530_20,,,Day4,3,MWM_150,12/18/2025,24.1,2.994,0.124,3.9,0.737,0.187,3.1,0.503,0.164,7.4,0.99,0.133,9.6,0.764,0.08,2.994,19,1.2,0.093,0.075,HFD,F,11
396,250530_21,,,Day4,3,MWM_150,12/18/2025,60,8.234,0.137,7.6,1.127,0.147,8.6,1.347,0.156,25.9,3.521,0.136,17.8,2.24,0.126,,,9.5,1.006,0.106,HFD,F,11
397,250530_22,,,Day4,3,MWM_150,12/18/2025,33.4,5.474,0.164,6.5,1.17,0.18,3.9,0.933,0.239,4.4,0.836,0.19,18.6,2.536,0.136,5.439,28.4,2.6,0.483,0.186,HFD,F,8
398,250530_23,,,Day4,3,MWM_150,12/18/2025,13.8,0.99,0.072,0,0,,6.5,0.796,0.122,0,0,,7.3,0.194,0.027,0.948,8.7,0,0,,HFD,M,15
399,250530_25,,,Day4,3,MWM_150,12/18/2025,60,7.935,0.132,26.5,2.8,0.106,16.5,2.419,0.147,8.6,1.47,0.171,8.4,1.246,0.148,,,12.9,1.078,0.083,HFD,M,13
